"Evaluation Overview, all Databases, Test Series LARGE"
QueryScenario,Phase,"sqlite4java","SQLite-Xerial","PostgreSQL","Virtuoso","MongoDB"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Query,"9763.15","9597.52","9564.52","9763.15"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Prepare,"Error"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Query,"Error","Error","Error","Error"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Prepare,"0.00"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Query,"7066.40","7096.29","7066.40","7113.03"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Prepare,"0.00"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Query,"7100.20","7056.18","7065.28","7100.20"
AGGREGATE_ISSUES_PER_DECADE_ALL,Prepare,"0.00"
AGGREGATE_ISSUES_PER_DECADE_ALL,Query,"7210.33","7208.70","7117.53","7210.33"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Prepare,"0.00"
